,p_value
SrcPort,0.0
DstPort,0.0
FlowDuration,0.0
BwdPktLenMax,0.0
FwdPktLenStd,0.0
FwdPktLenMean,0.0
FwdPktLenMin,0.0
FwdPktLenMax,0.0
BwdPktLenMean,0.0
BwdPktLenMin,0.0
